cp	min_bucket	max_depth	min_split	ganancia_promedio
-1	500	4	1000	10107333
-0.5	500	4	1000	10107333
0	500	4	1000	10107333
0.5	500	4	1000	10107333
1	500	4	1000	10107333
-1	400	4	800	9955333
-0.5	400	4	800	9955333
0	400	4	800	9955333
0.5	400	4	800	9955333
1	400	4	800	9955333
-1	300	4	600	9675333
-0.5	300	4	600	9675333
0	300	4	600	9675333
0.5	300	4	600	9675333
1	300	4	600	9675333
-1	200	4	400	9790667
-0.5	200	4	400	9790667
0	200	4	400	9790667
0.5	200	4	400	9790667
1	200	4	400	9790667
-1	100	4	200	9818000
-0.5	100	4	200	9818000
0	100	4	200	9818000
0.5	100	4	200	9818000
1	100	4	200	9818000
-1	50	4	100	9316667
-0.5	50	4	100	9316667
0	50	4	100	9316667
0.5	50	4	100	9316667
1	50	4	100	9316667
-1	25	4	50	9629333
-0.5	25	4	50	9629333
0	25	4	50	9629333
0.5	25	4	50	9629333
1	25	4	50	9629333
-1	10	4	20	9762667
-0.5	10	4	20	9762667
0	10	4	20	9762667
0.5	10	4	20	9762667
1	10	4	20	9762667
-1	5	4	10	9935333
-0.5	5	4	10	9935333
0	5	4	10	9935333
0.5	5	4	10	9935333
1	5	4	10	9935333
-1	500	6	1000	10940000
-0.5	500	6	1000	10940000
0	500	6	1000	10940000
0.5	500	6	1000	10940000
1	500	6	1000	10940000
-1	400	6	800	9546000
-0.5	400	6	800	9546000
0	400	6	800	9546000
0.5	400	6	800	9546000
1	400	6	800	9546000
-1	300	6	600	10201333
-0.5	300	6	600	10201333
0	300	6	600	10201333
0.5	300	6	600	10201333
1	300	6	600	10201333
-1	200	6	400	10683333
-0.5	200	6	400	10683333
0	200	6	400	10683333
0.5	200	6	400	10683333
1	200	6	400	10683333
-1	100	6	200	10276667
-0.5	100	6	200	10276667
0	100	6	200	10276667
0.5	100	6	200	10276667
1	100	6	200	10276667
-1	50	6	100	10154667
-0.5	50	6	100	10154667
0	50	6	100	10154667
0.5	50	6	100	10154667
1	50	6	100	10154667
-1	25	6	50	9948667
-0.5	25	6	50	9948667
0	25	6	50	9948667
0.5	25	6	50	9948667
1	25	6	50	9948667
-1	10	6	20	9880000
-0.5	10	6	20	9880000
0	10	6	20	9880000
0.5	10	6	20	9880000
1	10	6	20	9880000
-1	5	6	10	9932667
-0.5	5	6	10	9932667
0	5	6	10	9932667
0.5	5	6	10	9932667
1	5	6	10	9932667
-1	500	8	1000	10848667
-0.5	500	8	1000	10848667
0	500	8	1000	10848667
0.5	500	8	1000	10848667
1	500	8	1000	10848667
-1	400	8	800	8895333
-0.5	400	8	800	8895333
0	400	8	800	8895333
0.5	400	8	800	8895333
1	400	8	800	8895333
-1	300	8	600	8772667
-0.5	300	8	600	8772667
0	300	8	600	8772667
0.5	300	8	600	8772667
1	300	8	600	8772667
-1	200	8	400	8860000
-0.5	200	8	400	8860000
0	200	8	400	8860000
0.5	200	8	400	8860000
1	200	8	400	8860000
-1	100	8	200	8593333
