fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20220416 193448	-0.520108904343215	5229	1767	11	5	9298000	1
20220416 193525	-0.33032622368919	3710	305	15	5	10158000	2
20220416 193553	-0.921016415010672	7758	1242	14	5	8527000	3
20220416 193620	-0.0475745332383667	5867	1694	8	5	9500000	4
20220416 193635	-0.6918902336678	1640	486	3	5	9185000	5
20220416 193702	-0.994215626396181	4310	1900	9	5	9431000	6
20220416 193731	-0.282441541811568	6402	1073	17	5	9645000	7
20220416 193806	-0.132860755799629	3234	226	12	5	9857000	8
20220416 193829	-0.00583996806526543	7372	760	6	5	8602000	9
20220416 193906	-0.6275315300285	6940	107	19	5	8438000	10
20220416 193927	-0.80679883796256	4802	952	5	5	1e+07	11
20220416 193958	-0.973503948831931	5335	565	11	5	10004000	12
20220416 194017	0.0358794855186717	3434	1671	20	5	0	13
20220416 194038	-0.590017404281534	6478	265	5	5	9613000	14
20220416 194106	-0.0676670106709935	3932	763	8	5	10194000	15
20220416 194134	-0.813945476617664	6102	1419	17	5	9259000	16
20220416 194205	-0.999358966788511	6	1	8	5	8713000	17
20220416 194236	-0.253580977459847	5173	671	9	5	9973000	18
20220416 194321	-0.530492864950865	6221	1	16	5	9380000	19
20220416 194350	-0.703595264217731	3889	301	8	5	10158000	20
20220416 194430	-0.999925934503783	3858	132	14	5	9830000	21
20220416 194446	0.098934253422874	4677	458	14	5	0	22
20220416 194502	-0.107593042714786	6603	819	3	5	8743000	23
20220416 194533	-0.147843129700478	1915	956	8	5	10553000	24
20220416 194609	-0.812390046617853	3199	328	12	5	10179000	25
20220416 194641	-0.119094851700659	65	3	8	5	9985000	26
20220416 194715	-0.430906073877693	1550	543	11	5	10546000	27
20220416 194746	-0.400720125452238	6376	723	12	5	9613000	28
20220416 194827	-0.542700763911038	8	3	10	5	10035000	29
20220416 194903	-0.287125487259353	1549	774	12	5	10168000	30
20220416 194940	-0.467568044133759	1499	749	16	5	10033000	31
