fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220423 211615	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	21	TRUE	0.284629237512825	0.601138320500031	741	603	0.0374016312644623	7989000	1
20220423 211636	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	27	TRUE	0.116136480505113	0.451806495105848	5407	658	0.0260721391639284	12380000	2
20220423 211714	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	99	TRUE	0.1068947866417	0.541670948946849	3733	234	0.0453586362365362	8643000	3
20220423 211733	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	38	TRUE	0.267734242335311	0.488908211886883	6182	795	0.0330787314281527	10811000	4
20220423 211803	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	7	TRUE	0.238373388779466	0.991996508184821	851	456	0.0159518785750455	10991000	5
20220423 211911	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	204	TRUE	0.0341906814333051	0.401493226448074	4391	300	0.0302410888432253	11873000	6
20220423 211927	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	33	TRUE	0.148772281942889	0.72526282126084	4847	758	0.0138425575229727	12964000	7
20220423 211948	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	62	TRUE	0.189564828622737	0.583029998559505	6883	342	0.0203286709307577	12522000	8
20220423 212039	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	56	TRUE	0.0767565641623223	0.348055606195703	1392	505	0.0378003478205452	10185000	9
20220423 212104	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	28	TRUE	0.182338538730633	0.662045321818441	1663	904	0.024610044232395	11127000	10
20220423 212134	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	96	TRUE	0.0495278996418929	0.770538449734449	5891	562	0.0337217125226744	10673000	11
20220423 212146	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	22	TRUE	0.249478349902784	0.902822839096189	4772	189	0.0407907802606739	9064000	12
20220423 212157	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	16	TRUE	0.288859639876988	0.867009634245187	6790	861	0.0217362513615323	12611000	13
20220423 212259	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	40	TRUE	0.0608262358480133	0.308364297533408	126	107	0.00973080693462786	11296000	14
20220423 212321	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	43	TRUE	0.133673405867419	0.231595107242465	3542	958	0.0167721694796152	12779000	15
20220423 212341	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	27	TRUE	0.167300972136785	0.70650234955363	2533	674	0.0460568873939337	8029000	16
20220423 212404	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	26	TRUE	0.214484492148273	0.392912022694945	2208	137	0.0288651285004259	10452000	17
20220423 212545	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	537	TRUE	0.0133498070263304	0.83419742285274	7362	31	0.0489175523917462	7775000	18
20220423 212601	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	41	TRUE	0.201340813863906	0.248949748706073	7887	981	0.042043480349336	9239000	19
20220423 212624	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	36	TRUE	0.0930948817220051	0.920207476876676	3065	373	0.0116975329486498	12794000	20
20220423 212733	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	173	TRUE	0.0278281954521218	0.34823032669593	4277	534	0.0163935200671028	13398000	21
20220423 212830	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	255	TRUE	0.0453709288751397	0.200613525194403	5250	497	0.0101116614777475	12359000	22
20220423 213213	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	637	TRUE	0.0100445654376675	0.524422213304708	3772	686	0.0178827933370691	13949000	23
20220423 213530	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	846	TRUE	0.0100185093527904	0.898113905222405	3822	953	0.0172089840938138	13227000	24
20220423 213936	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	651	TRUE	0.0100072468079126	0.478733141142991	3021	711	0.0182454524583364	13604000	25
20220423 214332	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	777	TRUE	0.0100816117946597	0.545129314409592	4491	822	0.0182736486880632	13480000	26
20220423 214527	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	421	TRUE	0.0157257008418689	0.650584893591773	3729	603	0.019413298270817	13415000	27
20220423 214855	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	591	TRUE	0.0106697256238317	0.52187178307859	3789	663	0.0109573829648551	12818000	28
