fecha	gamma	alpha	lambda	subsample	tree_method	grow_policy	max_bin	max_leaves	scale_pos_weight	eta	colsample_bytree	min_child_weight	max_depth	prob_corte	nrounds	ganancia	iteracion
20220424 085855	0	0	0	1	auto	depthwise	256	0	1	0.160284455578309	0.989446566561237	9	9	0.0216287364339223	17	11801000	1
20220424 090300	0	0	0	1	auto	depthwise	256	0	1	0.208385920487577	0.499902306338772	2	26	0.0395129236969903	9	5912000	2
20220424 091701	0	0	0	1	auto	depthwise	256	0	1	0.0554053776264191	0.812899837307632	2	21	0.0466814856627025	52	7093000	3
20220424 092050	0	0	0	1	auto	depthwise	256	0	1	0.192949897112092	0.731511716041714	5	12	0.0303473036566478	14	9746000	4
20220424 092515	0	0	0	1	auto	depthwise	256	0	1	0.0752073584196623	0.292537338603288	0	13	0.0262077566891094	14	2317000	5
20220424 093232	0	0	0	1	auto	depthwise	256	0	1	0.113630382716656	0.923499321276322	5	15	0.0183585101180749	28	10961000	6
20220424 093758	0	0	0	1	auto	depthwise	256	0	1	0.14312365675671	0.559263863898814	4	30	0.0238914144710482	14	9802000	7
20220424 094221	0	0	0	1	auto	depthwise	256	0	1	0.249247151381569	0.764205384282395	6	25	0.0157752996824759	3	10228000	8
20220424 094628	0	0	0	1	auto	depthwise	256	0	1	0.219493712424068	0.713496939102188	9	20	0.0402924237583647	13	8288000	9
20220424 095616	0	0	0	1	auto	depthwise	256	0	1	0.0432465971644269	0.572583938641474	3	13	0.0438667886948679	81	7736000	10
20220424 095843	0	0	0	1	auto	depthwise	256	0	1	0.12911050030333	0.466914462912828	8	7	0.0286198980427192	32	10571000	11
20220424 100018	0	0	0	1	auto	depthwise	256	0	1	0.282080213644775	0.380923160165548	1	8	0.019508299450293	4	8496000	12
20220424 100253	0	0	0	1	auto	depthwise	256	0	1	0.092556520410697	0.4382360408362	1	5	0.00923486639124652	56	12645000	13
20220424 101841	0	0	0	1	auto	depthwise	256	0	1	0.0389805873467121	0.895378246717155	10	22	0.0358450479941287	88	9240000	14
20220424 102117	0	0	0	1	auto	depthwise	256	0	1	0.263892878855113	0.323893574401736	4	27	0.0342427985650526	8	8099000	15
