fecha	gamma	alpha	lambda	subsample	tree_method	grow_policy	max_bin	max_depth	scale_pos_weight	eta	colsample_bytree	min_child_weight	max_leaves	prob_corte	nrounds	ganancia	iteracion
20220425 191253	0	0	0	1	hist	lossguide	256	0	1	0.156788722124766	0.420576143004	2	315	0.0239504618444092	9	8221000	1
20220425 191327	0	0	0	1	hist	lossguide	256	0	1	0.198000824884279	0.551334926141426	8	983	0.022362033916094	15	10366000	2
20220425 191359	0	0	0	1	hist	lossguide	256	0	1	0.235335339775076	0.678187207700685	8	532	0.0169778889957039	10	10359000	3
20220425 191442	0	0	0	1	hist	lossguide	256	0	1	0.210862163237412	0.619521779753268	2	153	0.0365002629953475	7	6321000	4
20220425 191532	0	0	0	1	hist	lossguide	256	0	1	0.173989261235227	0.33531470477581	3	829	0.0310037016291365	20	7753000	5
20220425 191621	0	0	0	1	hist	lossguide	256	0	1	0.101115329882945	0.975920284632593	6	608	0.0131103620151407	15	11771000	6
20220425 191704	0	0	0	1	hist	lossguide	256	0	1	0.145854010281852	0.694678873289376	6	295	0.0436903036621516	17	6877000	7
20220425 191810	0	0	0	1	hist	lossguide	256	0	1	0.0954945601617219	0.317073984332383	3	499	0.0254617365896896	19	8755000	8
20220425 191845	0	0	0	1	hist	lossguide	256	0	1	0.258606424682192	0.928444809028879	5	707	0.0191830500077534	6	10840000	9
20220425 191917	0	0	0	1	hist	lossguide	256	0	1	0.279227322984952	0.385847181640565	7	455	0.0393629973982267	9	7754000	10
20220425 192010	0	0	0	1	hist	lossguide	256	0	1	0.128652261771029	0.44362961855717	4	961	0.0490736554575657	23	5590000	11
20220425 194223	0	0	0	1	hist	lossguide	256	0	1	0.0184820319548016	0.862057782690972	0	772	0.0348877834321077	135	1078000	12
20220425 194320	0	0	0	1	hist	lossguide	256	0	1	0.0757886787945172	0.755901209041476	9	4	0.0290727526735282	260	11942000	13
20220425 194446	0	0	0	1	hist	lossguide	256	0	1	0.0287985996683128	0.839647313021123	10	636	0.0109711601403736	40	13016000	14
20220425 194530	0	0	0	1	hist	lossguide	256	0	1	0.123150789377047	0.244742780374363	10	208	0.0466676034416499	39	7465000	15
20220425 194604	0	0	0	1	hist	lossguide	256	0	1	0.226647735541686	0.493157676775008	5	393	0.0150724938973629	7	10675000	16
20220425 194649	0	0	0	1	hist	lossguide	256	0	1	0.287898265987169	0.916835952494294	0	158	0.0317042797881489	2	2628000	17
20220425 194814	0	0	0	1	hist	lossguide	256	0	1	0.0630924438199727	0.593642556127161	2	910	0.00974509568234983	12	11813000	18
20220425 195027	0	0	0	1	hist	lossguide	256	0	1	0.0440504937546793	0.219267513500527	1	76	0.0443764959452286	121	5431000	19
20220425 195058	0	0	0	1	hist	lossguide	256	0	1	0.242388676057104	0.784044561386108	9	719	0.0408915415551746	11	6832000	20
20220425 195442	0	0	0	1	hist	lossguide	256	0	1	0.0102549771105013	0.972334506718744	10	2	0.0110063997132351	1305	12047000	21
20220425 195801	0	0	0	1	hist	lossguide	256	0	1	0.0103523598573218	0.959338365541321	10	1023	0.00836193038785131	76	11977000	22
20220425 200212	0	0	0	1	hist	lossguide	256	0	1	0.0100732413498673	0.873005388727284	10	440	0.0203437437074238	246	12336000	23
20220425 200532	0	0	0	1	hist	lossguide	256	0	1	0.0100150357654332	0.361591868764085	10	619	0.0111770311605465	71	12743000	24
20220425 200931	0	0	0	1	hist	lossguide	256	0	1	0.0100241875221278	0.696003406519373	9	637	0.0109287618016188	154	13004000	25
20220425 201254	0	0	0	1	hist	lossguide	256	0	1	0.013389931726268	0.608732807692601	5	938	0.00834816990454952	22	12418000	26
20220425 201622	0	0	0	1	hist	lossguide	256	0	1	0.0100377021077656	0.666170508054913	10	526	0.00835911997525103	39	12092000	27
20220425 202105	0	0	0	1	hist	lossguide	256	0	1	0.0101380628275522	0.755593287662374	10	780	0.0131905782374192	273	13558000	28
20220425 202558	0	0	0	1	hist	lossguide	256	0	1	0.0102562415690287	0.814243040758528	9	911	0.0143636124181587	274	13357000	29
20220425 203028	0	0	0	1	hist	lossguide	256	0	1	0.01032307695975	0.634712956887635	10	1016	0.0133534890741925	213	13509000	30
20220425 203625	0	0	0	1	hist	lossguide	256	0	1	0.0100018816998038	0.746858817212292	4	1023	0.0131157493846852	173	13113000	31
20220425 203817	0	0	0	1	hist	lossguide	256	0	1	0.0260475688242236	0.661481539170608	10	819	0.0144004261482609	87	13349000	32
20220425 204452	0	0	0	1	hist	lossguide	256	0	1	0.0103028502957265	0.263513643486052	5	1024	0.0130700852605735	379	13103000	33
20220425 204942	0	0	0	1	hist	lossguide	256	0	1	0.0102219906682937	0.604813504479488	7	1022	0.0129467101332555	222	13232000	34
20220425 205304	0	0	0	1	hist	lossguide	256	0	1	0.0101207467699929	0.203504047754782	10	3	0.0278940155702306	847	12308000	35
20220425 205344	0	0	0	1	hist	lossguide	256	0	1	0.181065189742347	0.486730201376503	4	1024	0.0123472485091858	5	11520000	36
20220425 205949	0	0	0	1	hist	lossguide	256	0	1	0.0103180768343447	0.596918791947852	6	2	0.018577325688372	2428	13020000	37
20220425 210722	0	0	0	1	hist	lossguide	256	0	1	0.0110430650393774	0.55733239122956	10	2	0.0185646702560425	3184	13390000	38
20220425 211333	0	0	0	1	hist	lossguide	256	0	1	0.0101787102930769	0.206689007358111	5	4	0.0130749213408183	1959	13280000	39
20220425 211900	0	0	0	1	hist	lossguide	256	0	1	0.0108208457404164	0.200486465386577	8	2	0.0172033768200219	2172	13106000	40
20220425 212316	0	0	0	1	hist	lossguide	256	0	1	0.0100138360345256	0.751845887358275	10	924	0.0129497604131512	224	13364000	41
20220425 212724	0	0	0	1	hist	lossguide	256	0	1	0.0100724166740212	0.539912931450513	10	146	0.0152765480881545	211	13514000	42
20220425 213229	0	0	0	1	hist	lossguide	256	0	1	0.0100148793539953	0.541030034185645	9	2	0.0152352857394216	1944	12983000	43
20220425 213932	0	0	0	1	hist	lossguide	256	0	1	0.0100359387806699	0.316241505877757	5	102	0.0165280885564387	451	12839000	44
20220425 214335	0	0	0	1	hist	lossguide	256	0	1	0.0100754293296445	0.622209973111764	10	381	0.0139662079149766	190	13631000	45
20220425 214545	0	0	0	1	hist	lossguide	256	0	1	0.0101646219421411	0.200098452770692	3	2	0.00967852137598597	521	11039000	46
20220425 215015	0	0	0	1	hist	lossguide	256	0	1	0.010160348899663	0.626099717100856	10	647	0.0136925310360592	284	13612000	47
20220425 215430	0	0	0	1	hist	lossguide	256	0	1	0.0100136187400584	0.21307865621439	6	6	0.0139253510967438	981	13657000	48
20220425 215650	0	0	0	1	hist	lossguide	256	0	1	0.0205326658741356	0.68873902763881	10	250	0.0139968858655933	126	13770000	49
