Feature	Gain	Cover	Frequency
ctrx_quarter	0.154191999966612	0.0453422765676895	0.0348907972141457
mpasivos_margen	0.0847906467311269	0.0318100072349777	0.0340793833254446
cpayroll_trx	0.0819028280106342	0.0308945479942646	0.00906078842382852
mpayroll	0.0693387595669647	0.0645736111283231	0.0237338562445061
mtarjeta_visa_consumo	0.0655062903031846	0.0303885703470137	0.0311718168909325
mcaja_ahorro	0.0540564889706627	0.0189732549262624	0.0265061870309013
mcuentas_saldo	0.0307620632924028	0.0415875709336344	0.0412468726756373
mrentabilidad_annual	0.030470656535817	0.0248293013731576	0.032388937723984
mprestamos_personales	0.0287244181280796	0.0306655219670825	0.014740685644736
Visa_msaldototal	0.0255517498266301	0.0220026989991155	0.025491919670025
mactivos_margen	0.0252016682509937	0.0255610576765136	0.0251538305497329
ctarjeta_visa_trx	0.0222168647044476	0.0113941153847485	0.0117655013861654
Visa_msaldopesos	0.0203695420678159	0.0250403171579125	0.0256947731422003
Master_fechaalta	0.0194304337381175	0.037753331577693	0.0386773953614173
chomebanking_trx	0.0153181594514707	0.020237960097759	0.0263709513827845
Visa_fechaalta	0.014628323306667	0.0138031004643854	0.0238690918926229
Visa_mpagominimo	0.013336079993862	0.0159059594040115	0.021164378930286
mcomisiones_otras	0.0125520193085894	0.012684621034607	0.0194739333288255
Master_Fvencimiento	0.0114934580642385	0.024691451238638	0.0300899317059977
numero_de_cliente	0.0114039981207704	0.0121315737799897	0.0201501115694097
mrentabilidad	0.0107512873416981	0.0103628332422883	0.0176482520792481
cliente_edad	0.010430262534361	0.0267072760271999	0.0281966326323619
mcaja_ahorro_dolares	0.00972907368433351	0.0251672697906736	0.0269795117993103
mcuenta_corriente	0.00929795742740796	0.0118486724847798	0.013794036107918
cliente_antiguedad	0.00917824452620466	0.012116659287886	0.0169044560146055
mcomisiones	0.00913250159129013	0.00942393612001927	0.0162282777740212
Visa_Fvencimiento	0.00911629174032332	0.0111921757334588	0.0183244303198323
ccomisiones_otras	0.00813826400927018	0.0141400420831271	0.015552099533437
Visa_mconsumospesos	0.00693851893491606	0.00978048479722598	0.0182568124957739
mtransferencias_recibidas	0.00678202464138851	0.010250463071373	0.0139968895800933
Visa_mpagospesos	0.00643412076847004	0.0104779325867682	0.0154168638853202
Master_mfinanciacion_limite	0.00637788519757966	0.0091096857945658	0.0141321252282102
mautoservicio	0.00624654774642994	0.0241093772463322	0.0283318682804787
mpagomiscuentas	0.00527985625288512	0.0158000954907506	0.0096017310162959
ccaja_ahorro	0.00508348555401386	0.0219491404073452	0.00737034282236798
cproductos	0.00480919265531902	0.00649023959343713	0.00696463587801745
Visa_mfinanciacion_limite	0.004803990485382	0.00662265057332768	0.00966934884035432
mtarjeta_visa_debitos_automaticos	0.00449314591077254	0.00786546477880506	0.0111569409696396
Master_mpagospesos	0.00447502937007957	0.0161293908173109	0.00926364189600379
Visa_mconsumototal	0.00440174743931097	0.0057010823597197	0.00987220231252958
Master_mlimitecompra	0.0042368823097577	0.00547624413613693	0.00885793495165326
mtransferencias_emitidas	0.00406661468867476	0.00576717173503722	0.0108188518493475
ctransferencias_recibidas	0.00390574831493506	0.0127016831675117	0.00669416458178376
cprestamos_personales	0.00354179838290009	0.000996129158626441	0.00114950300899317
Visa_mlimitecompra	0.00348564924776353	0.00645905945719759	0.00723510717425113
mcomisiones_mantenimiento	0.00330126860666829	0.00387818058573366	0.00500371898032321
mcuenta_debitos_automaticos	0.00305604169233124	0.00506237513707068	0.00608560416525796
mplazo_fijo_dolares	0.00277577089755238	0.0195663876373305	0.00453039421191426
Visa_mpagado	0.00273969128029854	0.00904974377714409	0.00757319629454324
ctarjeta_debito_trx	0.00254157151181199	0.0150603819767059	0.018594901616066
Master_msaldototal	0.00240185902676957	0.00471812309490562	0.00466562986003111
ccaja_seguridad	0.00233796369840838	0.0103383378539573	0.00344850902697951
Master_msaldopesos	0.0022491261644123	0.00451167128675895	0.00453039421191426
thomebanking	0.00223893023747891	0.00325584456597294	0.00351612685103793
