Feature	Gain	Cover	Frequency
ctrx_quarter	0.127740379315782	0.0281416958908699	0.0312339463680263
mpasivos_margen	0.0596378925557305	0.0191885706963462	0.026096784136443
mpayroll	0.0467590969074465	0.02922069911113	0.0124319326004315
ctarjeta_visa_trx	0.0385356697154838	0.0199404624735881	0.0232199732867564
active_quarter	0.0325959708147761	0.00116713599144394	0.000821945957053324
mcuentas_saldo	0.0323744911233863	0.0254181499775981	0.0287681084968663
cpayroll_trx	0.0320726369543932	0.0141091776415019	0.00359601356210829
mactivos_margen	0.0285431876137997	0.0272788347127644	0.026713243604233
mcaja_ahorro	0.0267899373599501	0.0170285368917268	0.026713243604233
mrentabilidad_annual	0.0224923018870841	0.0194947226986653	0.0243501489777047
mprestamos_personales	0.0218337697668213	0.0187919331793207	0.00708928387958492
cliente_edad	0.0196121327790982	0.0228462458931047	0.0275351895612863
mtarjeta_visa_consumo	0.0184291622402093	0.0133836966617588	0.0170553786088565
Master_fechaalta	0.017353092587418	0.0204447855622202	0.0261995273810747
mrentabilidad	0.0173380919216791	0.0168367031954127	0.0218843111065447
ctarjeta_debito_trx	0.0173001295943349	0.0093364371727049	0.0129456488235898
cliente_antiguedad	0.0169700740279334	0.0114690389890199	0.0218843111065447
chomebanking_trx	0.0161565200133978	0.0183180756163859	0.0223980273297031
Visa_fechaalta	0.014935187846107	0.014893842635428	0.024863865200863
Visa_msaldopesos	0.0147480331030473	0.0166876143436481	0.0200349327031748
Master_Fvencimiento	0.0146197291669723	0.0191160911783426	0.0233227165313881
Visa_Fvencimiento	0.0144587833356351	0.0123602932761879	0.0218843111065447
mcomisiones_otras	0.0143189153953748	0.0106632143209035	0.0176718380766465
numero_de_cliente	0.0139518136030848	0.0118239278231149	0.0240419192438097
Visa_mpagospesos	0.0138731850307581	0.0136246025809466	0.0195212164800164
ccomisiones_mantenimiento	0.0124189309615966	0.0172875038718274	0.00791122983663824
Master_mlimitecompra	0.0116229782769858	0.0119351625333543	0.0184937840336998
mcomisiones	0.0113921898863602	0.0118874168573603	0.0169526353642248
mcuenta_corriente	0.0113757209673359	0.0112915019639827	0.0153087434501182
Visa_mconsumospesos	0.0113551998303014	0.0116680260268097	0.0204459056817014
Master_mfinanciacion_limite	0.0112303542344053	0.0104441889164746	0.0190075002568581
Visa_mfinanciacion_limite	0.0102666009726956	0.0128911422965763	0.0168498921195931
Master_status	0.00976064132486425	0.0109354117289401	0.00215760813726497
mtransferencias_recibidas	0.00963481466020673	0.0112027434631386	0.0177745813212781
Visa_cconsumos	0.00911690116167625	0.0145266044007587	0.0162334326518031
ccomisiones_otras	0.00869258748232776	0.0155189515718332	0.0165416623856981
Visa_msaldototal	0.00820199316512293	0.0118382295002291	0.0175690948320148
mcaja_ahorro_dolares	0.00806472256657936	0.017600999437439	0.0164389191410665
Visa_mpagominimo	0.0080182651358949	0.00825112659746968	0.0124319326004315
cproductos	0.0074900433193293	0.00661530907884029	0.0101715812185349
Visa_mlimitecompra	0.00737158451823796	0.0113212866958096	0.0118154731326415
mcomisiones_mantenimiento	0.00654898083361472	0.0136197118779223	0.00873317579369157
mtarjeta_visa_debitos_automaticos	0.00596248083737191	0.00683871959672815	0.0103770677077982
ctransferencias_recibidas	0.00593037288507063	0.012488307552996	0.0083222028151649
thomebanking	0.00531405257838049	0.00305324537416459	0.00359601356210829
mtransferencias_emitidas	0.00527049971119978	0.00871332055953788	0.00791122983663824
mcuenta_debitos_automaticos	0.00512391542934357	0.0101864233373215	0.0117127298880099
mautoservicio	0.00502372626648926	0.0124885428273483	0.0155142299393815
Visa_mconsumototal	0.00477104167880585	0.00582580344026267	0.0104798109524299
ctransferencias_emitidas	0.00474373092265484	0.0165711485334491	0.00811671632590157
ccallcenter_trx	0.00470589267085056	0.00837330907384446	0.00308229733894996
Master_msaldopesos	0.00437775209957561	0.00788073969115015	0.00657556765642659
cextraccion_autoservicio	0.00414672055385458	0.00439443933373487	0.00523990547621494
ctarjeta_visa_debitos_automaticos	0.00372076572419568	0.00589965956351872	0.00729477036884825
Master_mpagospesos	0.00371058381516149	0.0123247768606733	0.00678105414568992
mpagomiscuentas	0.00367392499438027	0.00820028731403546	0.00811671632590157
Visa_mpagado	0.00366801005790316	0.0094055427563805	0.00616459467789993
Master_mpagominimo	0.00358542441388196	0.00493837861861527	0.00503441898695161
ccaja_ahorro	0.00337612330404146	0.0103170506611908	0.00400698654063495
cprestamos_personales	0.00326895238065411	0.00415599128065241	0.00205486489263331
Master_msaldototal	0.00319192612318757	0.00321644568122665	0.00493167574231994
ctarjeta_debito	0.00318386514615246	0.00322157165860324	0.00462344600842495
cpagomiscuentas	0.00300705594263636	0.00664295631814781	0.00626733792253159
matm	0.00288816654562495	0.00488929638406698	0.00523990547621494
Master_mconsumospesos	0.0028465836411428	0.00387568942205661	0.00503441898695161
Visa_fultimo_cierre	0.00243733378247541	0.00250130676130783	0.00421247302989828
Visa_mconsumosdolares	0.00238634503991437	0.0042083523386203	0.0053426487208466
mplazo_fijo_dolares	0.00238352763973958	0.0146227164765697	0.0026713243604233
mdescubierto_preacordado	0.00237850083004966	0.00644920038031749	0.00205486489263331
ccuenta_debitos_automaticos	0.00228369354825254	0.00875315701262664	0.00821945957053324
mextraccion_autoservicio	0.0022795264176513	0.00724019275256781	0.00821945957053324
cmobile_app_trx	0.0020786589677237	0.00152366674016738	0.00308229733894996
Master_cconsumos	0.00198288767681583	0.00330701128932943	0.00339052707284496
ccajas_consultas	0.00193185932525171	0.00887500409790355	0.00174663515873831
tcallcenter	0.00190843908897249	0.00236330083328519	0.00123291893557999
Visa_mpagosdolares	0.00181989191740917	0.00653230729087035	0.00410972978526662
Visa_status	0.00161498831952801	0.00433056485001878	0.00123291893557999
ccaja_seguridad	0.00145456373300589	0.00593647249088926	0.00154114866947498
Master_mconsumototal	0.00143951420460353	0.00348614017062226	0.00339052707284496
Master_fultimo_cierre	0.00136742389139122	0.00180253192346329	0.00236309462652831
catm_trx	0.00136335293526357	0.00434948691494408	0.00246583787115997
cseguro_accidentes_personales	0.00128589807766661	0.00695900486077312	0.00236309462652831
Visa_madelantopesos	0.00119276019728322	0.000785055449234075	0.000821945957053324
mtarjeta_master_consumo	0.00104407011476207	0.00250798454824178	0.00205486489263331
Visa_msaldodolares	0.00101005961341659	0.00334425471870621	0.00154114866947498
cinversion1	0.000887066030678588	0.00687102727054505	0.000924689201684989
mtarjeta_visa_descuentos	0.000818605199386037	0.00727542884119457	0.00256858111579164
ccajas_trx	0.000791023470573292	0.00262274837376491	0.000924689201684989
Visa_Finiciomora	0.000786667573161946	0.00196912618820243	0.000513716223158327
Visa_delinquency	0.000765379275966386	0.00239609907915571	0.000719202712421658
tpaquete7	0.000719339081892098	0.0068996856889835	0.00102743244631665
matm_other	0.00067574310703771	0.00225500454953018	0.00164389191410665
ctarjeta_master	0.000650959301451122	0.000465397697928566	0.000513716223158327
tmobile_app	0.000625615379758855	0.00745889277757347	0.00113017569094832
tpaquete9	0.000551184440616859	0.00381964907368658	0.000821945957053324
Master_mpagado	0.000549319243918624	0.00839105977284582	0.00154114866947498
cplazo_fijo	0.00047252392765218	0.00202249842530125	0.000821945957053324
mcheques_emitidos	0.000432312604315815	0.00158919315018647	0.000205486489263331
Master_mpagosdolares	0.000418273874368107	0.000360400260942284	0.00113017569094832
internet	0.000409569969558093	0.00201820842275073	0.000513716223158327
mttarjeta_master_debitos_automaticos	0.000346643596480685	0.00123752306946369	0.000821945957053324
catm_trx_other	0.000332133864501873	0.00114239213775988	0.000821945957053324
Visa_madelantodolares	0.000287751934772475	0.000160231845553941	0.000308229733894996
tpaquete1	0.000286331862706983	0.00533702848222798	0.000719202712421658
mcaja_ahorro_adicional	0.000257035237651025	0.00155528360843938	0.000410972978526662
ccajas_extracciones	0.000246203897456205	0.00241598226483912	0.000513716223158327
minversion2	0.000215604807279395	0.00320858651669418	0.000513716223158327
ctarjeta_master_debitos_automaticos	0.000194262256398871	0.00234982011348523	0.000513716223158327
ccheques_emitidos	0.000154060414566651	0.000797870392675547	0.000102743244631665
ccajeros_propios_descuentos	0.000151132773046611	0.00308683954816292	0.000616459467789993
ctarjeta_master_trx	0.000127076447350022	0.000523585550492502	0.000308229733894996
ctarjeta_visa	9.67331373881637e-05	4.11730116430119e-05	0.000102743244631665
cseguro_auto	9.47232193627789e-05	0.00234910427875393	0.000308229733894996
Master_mconsumosdolares	9.18605231825756e-05	0.000194682017727462	0.000924689201684989
cseguro_vivienda	8.011087375056e-05	0.00013554305607998	0.000308229733894996
mcheques_depositados	7.508951573984e-05	0.00142735443086506	0.000205486489263331
cseguro_vida	6.91397993145144e-05	0.000353457164632392	0.000308229733894996
ccheques_depositados	6.73007094251351e-05	0.00159574078535109	0.000205486489263331
ccajas_depositos	4.00092189588311e-05	0.000665731305947208	0.000102743244631665
Master_delinquency	3.6246667582302e-05	3.53362053724037e-05	0.000102743244631665
Master_msaldodolares	3.34175059780825e-05	8.06890911457396e-05	0.000205486489263331
Master_madelantopesos	1.82233463487402e-05	1.85015745936258e-05	0.000102743244631665
mcajeros_propios_descuentos	7.76890419596112e-06	0.000295274317905738	0.000205486489263331
ctarjeta_visa_descuentos	3.18135802989273e-12	0.000249746227827539	0.000308229733894996
cforex_sell	1.97454813728883e-12	8.51492921638458e-05	0.000205486489263331
cforex	9.53882940507119e-14	4.37910645414064e-05	0.000102743244631665
